"","x"
"1402"," —
"
"1403"," 40
"
"1404"," 10240
"
"1405"," 10496
"
"1406"," 10455
"
"1407"," 10280
"
"1408"," 10240
"
"1409"," 114
"
"1410"," 
"
"1411"," Tangela
"
"1412"," Grass
"
"1413"," —
"
"1414"," 20
"
"1415"," 5120
"
"1416"," 5376
"
"1417"," 5355
"
"1418"," 5140
"
"1419"," 5120
"
"1420"," 465
"
"1421"," 
"
"1422"," Tangrowth
"
"1423"," Grass
"
"1424"," —
"
"1425"," 20
"
"1426"," —
"
"1427"," —
"
"1428"," 5355
"
"1429"," 5140
"
"1430"," 5120
"
"1431"," 115
"
"1432"," 
"
"1433"," Kangaskhan
"
"1434"," Monster
"
"1435"," —
"
"1436"," 20
"
"1437"," 5120
"
"1438"," 5376
"
"1439"," 5355
"
"1440"," 5140
"
"1441"," 5120
"
"1442"," 116
"
"1443"," 
"
"1444"," Horsea
"
"1445"," Water 1
"
"1446"," Dragon
"
"1447"," 20
"
"1448"," 5120
"
"1449"," 5376
"
"1450"," 5355
"
"1451"," 5140
"
"1452"," 5120
"
"1453"," 117
"
"1454"," 
"
"1455"," Seadra
"
"1456"," Water 1
"
"1457"," Dragon
"
"1458"," 20
"
"1459"," 5120
"
"1460"," 5376
"
"1461"," 5355
"
"1462"," 5140
"
"1463"," 5120
"
"1464"," 230
"
"1465"," 
"
"1466"," Kingdra
"
"1467"," Water 1
"
"1468"," Dragon
"
"1469"," 20
"
"1470"," 5120
"
"1471"," 5376
"
"1472"," 5355
"
"1473"," 5140
"
"1474"," 5120
"
"1475"," 118
"
"1476"," 
"
"1477"," Goldeen
"
"1478"," Water 2
"
"1479"," —
"
"1480"," 20
"
"1481"," 5120
"
"1482"," 5376
"
"1483"," 5355
"
"1484"," 5140
"
"1485"," 5120
"
"1486"," 119
"
"1487"," 
"
"1488"," Seaking
"
"1489"," Water 2
"
"1490"," —
"
"1491"," 20
"
"1492"," 5120
"
"1493"," 5376
"
"1494"," 5355
"
"1495"," 5140
"
"1496"," 5120
"
"1497"," 120
"
"1498"," 
"
"1499"," Staryu
"
"1500"," Water 3
"
"1501"," —
"
"1502"," 20
"
"1503"," 5120
"
"1504"," 5376
"
"1505"," 5355
"
"1506"," 5140
"
"1507"," 5120
"
"1508"," 121
"
"1509"," 
"
"1510"," Starmie
"
"1511"," Water 3
"
"1512"," —
"
"1513"," 20
"
"1514"," 5120
"
"1515"," 5376
"
"1516"," 5355
"
"1517"," 5140
"
"1518"," 5120
"
"1519"," 439
"
"1520"," 
"
"1521"," Mime Jr.
"
"1522"," Undiscovered
"
"1523"," —
"
"1524"," 25
"
"1525"," —
"
"1526"," —
"
"1527"," 6630
"
"1528"," 6425
"
"1529"," 6400
"
"1530"," 122
"
"1531"," 
"
"1532"," Mr. Mime
"
"1533"," Human-Like
"
"1534"," —
"
"1535"," 25
"
"1536"," 6400
"
"1537"," 6656
"
"1538"," 6630
"
"1539"," 6425
"
"1540"," 6400
"
"1541"," 123
"
"1542"," 
"
"1543"," Scyther
"
"1544"," Bug
"
"1545"," —
"
"1546"," 25
"
"1547"," 6400
"
"1548"," 6656
"
"1549"," 6630
"
"1550"," 6425
"
"1551"," 6400
"
"1552"," 212
"
"1553"," 
"
"1554"," Scizor
"
"1555"," Bug
"
"1556"," —
"
"1557"," 25
"
"1558"," 6400
"
"1559"," 6656
"
"1560"," 6630
"
"1561"," 6425
"
"1562"," 6400
"
"1563"," 238
"
"1564"," 
"
"1565"," Smoochum
"
"1566"," Undiscovered
"
"1567"," —
"
"1568"," 25
"
"1569"," 6400
"
"1570"," 6656
"
"1571"," 6630
"
"1572"," 6425
"
"1573"," 6400
"
"1574"," 124
"
"1575"," 
"
"1576"," Jynx
"
"1577"," Human-Like
"
"1578"," —
"
"1579"," 25
"
"1580"," 6400
"
"1581"," 6656
"
"1582"," 6630
"
"1583"," 6425
"
"1584"," 6400
"
"1585"," 239
"
"1586"," 
"
"1587"," Elekid
"
"1588"," Undiscovered
"
"1589"," —
"
"1590"," 25
"
"1591"," 6400
"
"1592"," 6656
"
"1593"," 6630
"
"1594"," 6425
"
"1595"," 6400
"
"1596"," 125
"
"1597"," 
"
"1598"," Electabuzz
"
"1599"," Human-Like
"
"1600"," —
"
"1601"," 25
"
"1602"," 6400
"
"1603"," 6656
"
"1604"," 6630
"
"1605"," 6425
"
"1606"," 6400
"
"1607"," 466
"
"1608"," 
"
"1609"," Electivire
"
"1610"," Human-Like
"
"1611"," —
"
"1612"," 25
"
"1613"," —
"
"1614"," —
"
"1615"," 6630
"
"1616"," 6425
"
"1617"," 6400
"
"1618"," 240
"
"1619"," 
"
"1620"," Magby
"
"1621"," Undiscovered
"
"1622"," —
"
"1623"," 25
"
"1624"," 6400
"
"1625"," 6656
"
"1626"," 6630
"
"1627"," 6425
"
"1628"," 6400
"
"1629"," 126
"
"1630"," 
"
"1631"," Magmar
"
"1632"," Human-Like
"
"1633"," —
"
"1634"," 25
"
"1635"," 6400
"
"1636"," 6656
"
"1637"," 6630
"
"1638"," 6425
"
"1639"," 6400
"
"1640"," 467
"
"1641"," 
"
"1642"," Magmortar
"
"1643"," Human-Like
"
"1644"," —
"
"1645"," 25
"
"1646"," —
"
"1647"," —
"
"1648"," 6630
"
"1649"," 6425
"
"1650"," 6400
"
"1651"," 127
"
"1652"," 
"
"1653"," Pinsir
"
"1654"," Bug
"
"1655"," —
"
"1656"," 25
"
"1657"," 6400
"
"1658"," 6656
"
"1659"," 6630
"
"1660"," 6425
"
"1661"," 6400
"
"1662"," 128
"
"1663"," 
"
"1664"," Tauros
"
"1665"," Field
"
"1666"," —
"
"1667"," 20
"
"1668"," 5120
"
"1669"," 5376
"
"1670"," 5355
"
"1671"," 5140
"
"1672"," 5120
"
"1673"," 129
"
"1674"," 
"
"1675"," Magikarp
"
"1676"," Water 2
"
"1677"," Dragon
"
"1678"," 5
"
"1679"," 1280
"
"1680"," 1536
"
"1681"," 1530
"
"1682"," 1285
"
"1683"," 1280
"
"1684"," 130
"
"1685"," 
"
"1686"," Gyarados
"
"1687"," Water 2
"
"1688"," Dragon
"
"1689"," 5
"
"1690"," 1280
"
"1691"," 1536
"
"1692"," 1530
"
"1693"," 1285
"
"1694"," 1280
"
"1695"," 131
"
"1696"," 
"
"1697"," Lapras
"
"1698"," Monster
"
"1699"," Water 1
"
"1700"," 40
"
"1701"," 10240
"
"1702"," 10496
"
"1703"," 10455
"
"1704"," 10280
"
"1705"," 10240
"
"1706"," 132
"
"1707"," 
"
"1708"," Ditto
"
"1709"," Ditto
"
"1710"," —
"
"1711"," 20
"
"1712"," 5120
"
"1713"," 5376
"
"1714"," 5355
"
"1715"," 5140
"
"1716"," 5120
"
"1717"," 133
"
"1718"," 
"
"1719"," Eevee
"
"1720"," Field
"
"1721"," —
"
"1722"," 35
"
"1723"," 8960
"
"1724"," 9216
"
"1725"," 9180
"
"1726"," 8995
"
"1727"," 8960
"
"1728"," 134
"
"1729"," 
"
"1730"," Vaporeon
"
"1731"," Field
"
"1732"," —
"
"1733"," 35
"
"1734"," 8960
"
"1735"," 9216
"
"1736"," 9180
"
"1737"," 8995
"
"1738"," 8960
"
"1739"," 135
"
"1740"," 
"
"1741"," Jolteon
"
"1742"," Field
"
"1743"," —
"
"1744"," 35
"
"1745"," 8960
"
"1746"," 9216
"
"1747"," 9180
"
"1748"," 8995
"
"1749"," 8960
"
"1750"," 136
"
"1751"," 
"
"1752"," Flareon
"
"1753"," Field
"
"1754"," —
"
"1755"," 35
"
"1756"," 8960
"
"1757"," 9216
"
"1758"," 9180
"
"1759"," 8995
"
"1760"," 8960
"
"1761"," 196
"
"1762"," 
"
"1763"," Espeon
"
"1764"," Field
"
"1765"," —
"
"1766"," 35
"
"1767"," 8960
"
"1768"," 9216
"
"1769"," 9180
"
"1770"," 8995
"
"1771"," 8960
"
"1772"," 197
"
"1773"," 
"
"1774"," Umbreon
"
"1775"," Field
"
"1776"," —
"
"1777"," 35
"
"1778"," 8960
"
"1779"," 9216
"
"1780"," 9180
"
"1781"," 8995
"
"1782"," 8960
"
"1783"," 470
"
"1784"," 
"
"1785"," Leafeon
"
"1786"," Field
"
"1787"," —
"
"1788"," 35
"
"1789"," —
"
"1790"," —
"
"1791"," 9180
"
"1792"," 8995
"
"1793"," 8960
"
"1794"," 471
"
"1795"," 
"
"1796"," Glaceon
"
"1797"," Field
"
"1798"," —
"
"1799"," 35
"
"1800"," —
"
"1801"," —
"
"1802"," 9180
"
"1803"," 8995
"
"1804"," 8960
"
"1805"," 700
"
"1806"," 
"
"1807"," Sylveon
"
"1808"," Field
"
"1809"," —
"
"1810"," 35
"
"1811"," —
"
"1812"," —
"
"1813"," —
"
"1814"," 8995
"
"1815"," 8960
"
"1816"," 137
"
"1817"," 
"
"1818"," Porygon
"
"1819"," Mineral
"
"1820"," —
"
"1821"," 20
"
"1822"," 5120
"
"1823"," 5376
"
"1824"," 5355
"
"1825"," 5140
"
"1826"," 5120
"
"1827"," 233
"
"1828"," 
"
"1829"," Porygon2
"
"1830"," Mineral
"
"1831"," —
"
"1832"," 20
"
"1833"," 5120
"
"1834"," 5376
"
"1835"," 5355
"
"1836"," 5140
"
"1837"," 5120
"
"1838"," 474
"
"1839"," 
"
"1840"," Porygon-Z
"
"1841"," Mineral
"
"1842"," —
"
"1843"," 20
"
"1844"," —
"
"1845"," —
"
"1846"," 5355
"
"1847"," 5140
"
"1848"," 5120
"
"1849"," 138
"
"1850"," 
"
"1851"," Omanyte
"
"1852"," Water 1
"
"1853"," Water 3
"
"1854"," 30
"
"1855"," 7680
"
"1856"," 7936
"
"1857"," 7905
"
"1858"," 7710
"
"1859"," 7680
"
"1860"," 139
"
"1861"," 
"
"1862"," Omastar
"
"1863"," Water 1
"
"1864"," Water 3
"
"1865"," 30
"
"1866"," 7680
"
"1867"," 7936
"
"1868"," 7905
"
"1869"," 7710
"
"1870"," 7680
"
"1871"," 140
"
"1872"," 
"
"1873"," Kabuto
"
"1874"," Water 1
"
"1875"," Water 3
"
"1876"," 30
"
"1877"," 7680
"
"1878"," 7936
"
"1879"," 7905
"
"1880"," 7710
"
"1881"," 7680
"
"1882"," 141
"
"1883"," 
"
"1884"," Kabutops
"
"1885"," Water 1
"
"1886"," Water 3
"
"1887"," 30
"
"1888"," 7680
"
"1889"," 7936
"
"1890"," 7905
"
"1891"," 7710
"
"1892"," 7680
"
"1893"," 142
"
"1894"," 
"
"1895"," Aerodactyl
"
"1896"," Flying
"
"1897"," —
"
"1898"," 35
"
"1899"," 8960
"
"1900"," 9216
"
"1901"," 9180
"
"1902"," 8995
"
"1903"," 8960
"
"1904"," 446
"
"1905"," 
"
"1906"," Munchlax
"
"1907"," Undiscovered
"
"1908"," —
"
"1909"," 40
"
"1910"," —
"
"1911"," —
"
"1912"," 10455
"
"1913"," 10280
"
"1914"," 10240
"
"1915"," 143
"
"1916"," 
"
"1917"," Snorlax
"
"1918"," Monster
"
"1919"," —
"
"1920"," 40
"
"1921"," 10240
"
"1922"," 10496
"
"1923"," 10455
"
"1924"," 10280
"
"1925"," 10240
"
"1926"," 144
"
"1927"," 
"
"1928"," Articuno
"
"1929"," Undiscovered
"
"1930"," —
"
"1931"," 80
"
"1932"," 20480
"
"1933"," 20736
"
"1934"," 20655
"
"1935"," 20560
"
"1936"," 20480
"
"1937"," 145
"
"1938"," 
"
"1939"," Zapdos
"
"1940"," Undiscovered
"
"1941"," —
"
"1942"," 80
"
"1943"," 20480
"
"1944"," 20736
"
"1945"," 20655
"
"1946"," 20560
"
"1947"," 20480
"
"1948"," 146
"
"1949"," 
"
"1950"," Moltres
"
"1951"," Undiscovered
"
"1952"," —
"
"1953"," 80
"
"1954"," 20480
"
"1955"," 20736
"
"1956"," 20655
"
"1957"," 20560
"
"1958"," 20480
"
"1959"," 147
"
"1960"," 
"
"1961"," Dratini
"
"1962"," Water 1
"
"1963"," Dragon
"
"1964"," 40
"
"1965"," 10240
"
"1966"," 10496
"
"1967"," 10455
"
"1968"," 10280
"
"1969"," 10240
"
"1970"," 148
"
"1971"," 
"
"1972"," Dragonair
"
"1973"," Water 1
"
"1974"," Dragon
"
"1975"," 40
"
"1976"," 10240
"
"1977"," 10496
"
"1978"," 10455
"
"1979"," 10280
"
"1980"," 10240
"
"1981"," 149
"
"1982"," 
"
"1983"," Dragonite
"
"1984"," Water 1
"
"1985"," Dragon
"
"1986"," 40
"
"1987"," 10240
"
"1988"," 10496
"
"1989"," 10455
"
"1990"," 10280
"
"1991"," 10240
"
"1992"," 150
"
"1993"," 
"
"1994"," Mewtwo
"
"1995"," Undiscovered
"
"1996"," —
"
"1997"," 120
"
"1998"," 30720
"
"1999"," 30976
"
"2000"," 30855
"
"2001"," 30840
"
"2002"," 30720
"
"2003"," 151
"
"2004"," 
"
"2005"," Mew
"
"2006"," Undiscovered
"
"2007"," —
"
"2008"," 120
"
"2009"," 30720
"
"2010"," 30976
"
"2011"," 30855
"
"2012"," 30840
"
"2013"," 30720
"
"2014"," 152
"
"2015"," 
"
"2016"," Chikorita
"
"2017"," Monster
"
"2018"," Grass
"
"2019"," 20
"
"2020"," 5120
"
"2021"," 5376
"
"2022"," 5355
"
"2023"," 5140
"
"2024"," 5120
"
"2025"," 153
"
"2026"," 
"
"2027"," Bayleef
"
"2028"," Monster
"
"2029"," Grass
"
"2030"," 20
"
"2031"," 5120
"
"2032"," 5376
"
"2033"," 5355
"
"2034"," 5140
"
"2035"," 5120
"
"2036"," 154
"
"2037"," 
"
"2038"," Meganium
"
"2039"," Monster
"
"2040"," Grass
"
"2041"," 20
"
"2042"," 5120
"
"2043"," 5376
"
"2044"," 5355
"
"2045"," 5140
"
"2046"," 5120
"
"2047"," 155
"
"2048"," 
"
"2049"," Cyndaquil
"
"2050"," Field
"
"2051"," —
"
"2052"," 20
"
"2053"," 5120
"
"2054"," 5376
"
"2055"," 5355
"
"2056"," 5140
"
"2057"," 5120
"
"2058"," 156
"
"2059"," 
"
"2060"," Quilava
"
"2061"," Field
"
"2062"," —
"
"2063"," 20
"
"2064"," 5120
"
"2065"," 5376
"
"2066"," 5355
"
"2067"," 5140
"
"2068"," 5120
"
"2069"," 157
"
"2070"," 
"
"2071"," Typhlosion
"
"2072"," Field
"
"2073"," —
"
"2074"," 20
"
"2075"," 5120
"
"2076"," 5376
"
"2077"," 5355
"
"2078"," 5140
"
"2079"," 5120
"
"2080"," 158
"
"2081"," 
"
"2082"," Totodile
"
"2083"," Monster
"
"2084"," Water 1
"
"2085"," 20
"
"2086"," 5120
"
"2087"," 5376
"
"2088"," 5355
"
"2089"," 5140
"
"2090"," 5120
"
"2091"," 159
"
"2092"," 
"
"2093"," Croconaw
"
"2094"," Monster
"
"2095"," Water 1
"
"2096"," 20
"
"2097"," 5120
"
"2098"," 5376
"
"2099"," 5355
"
"2100"," 5140
"
"2101"," 5120
"
"2102"," 160
"
"2103"," 
"
"2104"," Feraligatr
"
"2105"," Monster
"
"2106"," Water 1
"
"2107"," 20
"
"2108"," 5120
"
"2109"," 5376
"
"2110"," 5355
"
"2111"," 5140
"
"2112"," 5120
"
"2113"," 161
"
"2114"," 
"
"2115"," Sentret
"
"2116"," Field
"
"2117"," —
"
"2118"," 15
"
"2119"," 3840
"
"2120"," 4096
"
"2121"," 4080
"
"2122"," 3855
"
"2123"," 3840
"
"2124"," 162
"
"2125"," 
"
"2126"," Furret
"
"2127"," Field
"
"2128"," —
"
"2129"," 15
"
"2130"," 3840
"
"2131"," 4096
"
"2132"," 4080
"
"2133"," 3855
"
"2134"," 3840
"
"2135"," 163
"
"2136"," 
"
"2137"," Hoothoot
"
"2138"," Flying
"
"2139"," —
"
"2140"," 15
"
"2141"," 3840
"
"2142"," 4096
"
"2143"," 4080
"
"2144"," 3855
"
"2145"," 3840
"
"2146"," 164
"
"2147"," 
"
"2148"," Noctowl
"
"2149"," Flying
"
"2150"," —
"
"2151"," 15
"
"2152"," 3840
"
"2153"," 4096
"
"2154"," 4080
"
"2155"," 3855
"
"2156"," 3840
"
"2157"," 165
"
"2158"," 
"
"2159"," Ledyba
"
"2160"," Bug
"
"2161"," —
"
"2162"," 15
"
"2163"," 3840
"
"2164"," 4096
"
"2165"," 4080
"
"2166"," 3855
"
"2167"," 3840
"
"2168"," 166
"
"2169"," 
"
"2170"," Ledian
"
"2171"," Bug
"
"2172"," —
"
"2173"," 15
"
"2174"," 3840
"
"2175"," 4096
"
"2176"," 4080
"
"2177"," 3855
"
"2178"," 3840
"
"2179"," 167
"
"2180"," 
"
"2181"," Spinarak
"
"2182"," Bug
"
"2183"," —
"
"2184"," 15
"
"2185"," 3840
"
"2186"," 4096
"
"2187"," 4080
"
"2188"," 3855
"
"2189"," 3840
"
"2190"," 168
"
"2191"," 
"
"2192"," Ariados
"
"2193"," Bug
"
"2194"," —
"
"2195"," 15
"
"2196"," 3840
"
"2197"," 4096
"
"2198"," 4080
"
"2199"," 3855
"
"2200"," 3840
"
"2201"," 170
"
"2202"," 
"
"2203"," Chinchou
"
"2204"," Water 2
"
"2205"," —
"
"2206"," 20
"
"2207"," 5120
"
"2208"," 5376
"
"2209"," 5355
"
"2210"," 5140
"
"2211"," 5120
"
"2212"," 171
"
"2213"," 
"
"2214"," Lanturn
"
"2215"," Water 2
"
"2216"," —
"
"2217"," 20
"
"2218"," 5120
"
"2219"," 5376
"
"2220"," 5355
"
"2221"," 5140
"
"2222"," 5120
"
"2223"," 175
"
"2224"," 
"
"2225"," Togepi
"
"2226"," Undiscovered
"
"2227"," —
"
"2228"," 10
"
"2229"," 2560
"
"2230"," 2816
"
"2231"," 2805
"
"2232"," 2570
"
"2233"," 2560
"
"2234"," 176
"
"2235"," 
"
"2236"," Togetic
"
"2237"," Flying
"
"2238"," Fairy
"
"2239"," 10
"
"2240"," 2560
"
"2241"," 2816
"
"2242"," 2805
"
"2243"," 2570
"
"2244"," 2560
"
"2245"," 468
"
"2246"," 
"
"2247"," Togekiss
"
"2248"," Flying
"
"2249"," Fairy
"
"2250"," 10
"
"2251"," —
"
"2252"," —
"
"2253"," 2805
"
"2254"," 2570
"
"2255"," 2560
"
"2256"," 177
"
"2257"," 
"
"2258"," Natu
"
"2259"," Flying
"
"2260"," —
"
"2261"," 20
"
"2262"," 5120
"
"2263"," 5376
"
"2264"," 5355
"
"2265"," 5140
"
"2266"," 5120
"
"2267"," 178
"
"2268"," 
"
"2269"," Xatu
"
"2270"," Flying
"
"2271"," —
"
"2272"," 20
"
"2273"," 5120
"
"2274"," 5376
"
"2275"," 5355
"
"2276"," 5140
"
"2277"," 5120
"
"2278"," 179
"
"2279"," 
"
"2280"," Mareep
"
"2281"," Monster
"
"2282"," Field
"
"2283"," 20
"
"2284"," 5120
"
"2285"," 5376
"
"2286"," 5355
"
"2287"," 5140
"
"2288"," 5120
"
"2289"," 180
"
"2290"," 
"
"2291"," Flaaffy
"
"2292"," Monster
"
"2293"," Field
"
"2294"," 20
"
"2295"," 5120
"
"2296"," 5376
"
"2297"," 5355
"
"2298"," 5140
"
"2299"," 5120
"
"2300"," 181
"
"2301"," 
"
"2302"," Ampharos
"
"2303"," Monster
"
"2304"," Field
"
"2305"," 20
"
"2306"," 5120
"
"2307"," 5376
"
"2308"," 5355
"
"2309"," 5140
"
"2310"," 5120
"
"2311"," 298
"
"2312"," 
"
"2313"," Azurill
"
"2314"," Undiscovered
"
"2315"," —
"
"2316"," 10
"
"2317"," —
"
"2318"," 2816
"
"2319"," 2805
"
"2320"," 2570
"
"2321"," 2560
"
"2322"," 183
"
"2323"," 
"
"2324"," Marill
"
"2325"," Water 1
"
"2326"," Fairy
"
"2327"," 10
"
"2328"," 2560
"
"2329"," 2816
"
"2330"," 2805
"
"2331"," 2570
"
"2332"," 2560
"
"2333"," 184
"
"2334"," 
"
"2335"," Azumarill
"
"2336"," Water 1
"
"2337"," Fairy
"
"2338"," 10
"
"2339"," 2560
"
"2340"," 2816
"
"2341"," 2805
"
"2342"," 2570
"
"2343"," 2560
"
"2344"," 438
"
"2345"," 
"
"2346"," Bonsly
"
"2347"," Undiscovered
"
"2348"," —
"
"2349"," 20
"
"2350"," —
"
"2351"," —
"
"2352"," 5355
"
"2353"," 5140
"
"2354"," 5120
"
"2355"," 185
"
"2356"," 
"
"2357"," Sudowoodo
"
"2358"," Mineral
"
"2359"," —
"
"2360"," 20
"
"2361"," 5120
"
"2362"," 5376
"
"2363"," 5355
"
"2364"," 5140
"
"2365"," 5120
"
"2366"," 187
"
"2367"," 
"
"2368"," Hoppip
"
"2369"," Fairy
"
"2370"," Grass
"
"2371"," 20
"
"2372"," 5120
"
"2373"," 5376
"
"2374"," 5355
"
"2375"," 5140
"
"2376"," 5120
"
"2377"," 188
"
"2378"," 
"
"2379"," Skiploom
"
"2380"," Fairy
"
"2381"," Grass
"
"2382"," 20
"
"2383"," 5120
"
"2384"," 5376
"
"2385"," 5355
"
"2386"," 5140
"
"2387"," 5120
"
"2388"," 189
"
"2389"," 
"
"2390"," Jumpluff
"
"2391"," Fairy
"
"2392"," Grass
"
"2393"," 20
"
"2394"," 5120
"
"2395"," 5376
"
"2396"," 5355
"
"2397"," 5140
"
"2398"," 5120
"
"2399"," 190
"
"2400"," 
"
"2401"," Aipom
"
"2402"," Field
"
"2403"," —
"
"2404"," 20
"
"2405"," 5120
"
"2406"," 5376
"
"2407"," 5355
"
"2408"," 5140
"
"2409"," 5120
"
"2410"," 424
"
"2411"," 
"
"2412"," Ambipom
"
"2413"," Field
"
"2414"," —
"
"2415"," 20
"
"2416"," —
"
"2417"," —
"
"2418"," 5355
"
"2419"," 5140
"
"2420"," 5120
"
"2421"," 191
"
"2422"," 
"
"2423"," Sunkern
"
"2424"," Grass
"
"2425"," —
"
"2426"," 20
"
"2427"," 5120
"
"2428"," 5376
"
"2429"," 5355
"
"2430"," 5140
"
"2431"," 5120
"
"2432"," 192
"
"2433"," 
"
"2434"," Sunflora
"
"2435"," Grass
"
"2436"," —
"
"2437"," 20
"
"2438"," 5120
"
"2439"," 5376
"
"2440"," 5355
"
"2441"," 5140
"
"2442"," 5120
"
"2443"," 193
"
"2444"," 
"
"2445"," Yanma
"
"2446"," Bug
"
"2447"," —
"
"2448"," 20
"
"2449"," 5120
"
"2450"," 5376
"
"2451"," 5355
"
"2452"," 5140
"
"2453"," 5120
"
"2454"," 469
"
"2455"," 
"
"2456"," Yanmega
"
"2457"," Bug
"
"2458"," —
"
"2459"," 20
"
"2460"," —
"
"2461"," —
"
"2462"," 5355
"
"2463"," 5140
"
"2464"," 5120
"
"2465"," 194
"
"2466"," 
"
"2467"," Wooper
"
"2468"," Water 1
"
"2469"," Field
"
"2470"," 20
"
"2471"," 5120
"
"2472"," 5376
"
"2473"," 5355
"
"2474"," 5140
"
"2475"," 5120
"
"2476"," 195
"
"2477"," 
"
"2478"," Quagsire
"
"2479"," Water 1
"
"2480"," Field
"
"2481"," 20
"
"2482"," 5120
"
"2483"," 5376
"
"2484"," 5355
"
"2485"," 5140
"
"2486"," 5120
"
"2487"," 198
"
"2488"," 
"
"2489"," Murkrow
"
"2490"," Flying
"
"2491"," —
"
"2492"," 20
"
"2493"," 5120
"
"2494"," 5376
"
"2495"," 5355
"
"2496"," 5140
"
"2497"," 5120
"
"2498"," 430
"
"2499"," 
"
"2500"," Honchkrow
"
"2501"," Flying
"
"2502"," —
"
"2503"," 20
"
"2504"," —
"
"2505"," —
"
"2506"," 5355
"
"2507"," 5140
"
"2508"," 5120
"
"2509"," 200
"
"2510"," 
"
"2511"," Misdreavus
"
"2512"," Amorphous
"
"2513"," —
"
"2514"," 25
"
"2515"," 6400
"
"2516"," 6656
"
"2517"," 6630
"
"2518"," 6425
"
"2519"," 6400
"
"2520"," 429
"
"2521"," 
"
"2522"," Mismagius
"
"2523"," Amorphous
"
"2524"," —
"
"2525"," 25
"
"2526"," —
"
"2527"," —
"
"2528"," 6630
"
"2529"," 6425
"
"2530"," 6400
"
"2531"," 201
"
"2532"," 
"
"2533"," Unown
"
"2534"," Undiscovered
"
"2535"," —
"
"2536"," 40
"
"2537"," 10240
"
"2538"," 10496
"
"2539"," 10455
"
"2540"," 10280
"
"2541"," 10240
"
"2542"," 360
"
"2543"," 
"
"2544"," Wynaut
"
"2545"," Undiscovered
"
"2546"," —
"
"2547"," 20
"
"2548"," —
"
"2549"," 5376
"
"2550"," 5355
"
"2551"," 5140
"
"2552"," 5120
"
"2553"," 202
"
"2554"," 
"
"2555"," Wobbuffet
"
"2556"," Amorphous
"
"2557"," —
"
"2558"," 20
"
"2559"," 5120
"
"2560"," 5376
"
"2561"," 5355
"
"2562"," 5140
"
"2563"," 5120
"
"2564"," 203
"
"2565"," 
"
"2566"," Girafarig
"
"2567"," Field
"
"2568"," —
"
"2569"," 20
"
"2570"," 5120
"
"2571"," 5376
"
"2572"," 5355
"
"2573"," 5140
"
"2574"," 5120
"
"2575"," 204
"
"2576"," 
"
"2577"," Pineco
"
"2578"," Bug
"
"2579"," —
"
"2580"," 20
"
"2581"," 5120
"
"2582"," 5376
"
"2583"," 5355
"
"2584"," 5140
"
"2585"," 5120
"
"2586"," 205
"
"2587"," 
"
"2588"," Forretress
"
"2589"," Bug
"
"2590"," —
"
"2591"," 20
"
"2592"," 5120
"
"2593"," 5376
"
"2594"," 5355
"
"2595"," 5140
"
"2596"," 5120
"
"2597"," 206
"
"2598"," 
"
"2599"," Dunsparce
"
"2600"," Field
"
"2601"," —
"
"2602"," 20
"
"2603"," 5120
"
"2604"," 5376
"
"2605"," 5355
"
"2606"," 5140
"
"2607"," 5120
"
"2608"," 207
"
"2609"," 
"
"2610"," Gligar
"
"2611"," Bug
"
"2612"," —
"
"2613"," 20
"
"2614"," 5120
"
"2615"," 5376
"
"2616"," 5355
"
"2617"," 5140
"
"2618"," 5120
"
"2619"," 472
"
"2620"," 
"
"2621"," Gliscor
"
"2622"," Bug
"
"2623"," —
"
"2624"," 20
"
"2625"," —
"
"2626"," —
"
"2627"," 5355
"
"2628"," 5140
"
"2629"," 5120
"
"2630"," 209
"
"2631"," 
"
"2632"," Snubbull
"
"2633"," Field
"
"2634"," Fairy
"
"2635"," 20
"
"2636"," 5120
"
"2637"," 5376
"
"2638"," 5355
"
"2639"," 5140
"
"2640"," 5120
"
"2641"," 210
"
"2642"," 
"
"2643"," Granbull
"
"2644"," Field
"
"2645"," Fairy
"
"2646"," 20
"
"2647"," 5120
"
"2648"," 5376
"
"2649"," 5355
"
"2650"," 5140
"
"2651"," 5120
"
"2652"," 211
"
"2653"," 
"
"2654"," Qwilfish
"
"2655"," Water 2
"
"2656"," —
"
"2657"," 20
"
"2658"," 5120
"
"2659"," 5376
"
"2660"," 5355
"
"2661"," 5140
"
"2662"," 5120
"
"2663"," 213
"
"2664"," 
"
"2665"," Shuckle
"
"2666"," Bug
"
"2667"," —
"
"2668"," 20
"
"2669"," 5120
"
"2670"," 5376
"
"2671"," 5355
"
"2672"," 5140
"
"2673"," 5120
"
"2674"," 214
"
"2675"," 
"
"2676"," Heracross
"
"2677"," Bug
"
"2678"," —
"
"2679"," 25
"
"2680"," 6400
"
"2681"," 6656
"
"2682"," 6630
"
"2683"," 6425
"
"2684"," 6400
"
"2685"," 215
"
"2686"," 
"
"2687"," Sneasel
"
"2688"," Field
"
"2689"," —
"
"2690"," 20
"
"2691"," 5120
"
"2692"," 5376
"
"2693"," 5355
"
"2694"," 5140
"
"2695"," 5120
"
"2696"," 461
"
"2697"," 
"
"2698"," Weavile
"
"2699"," Field
"
"2700"," —
"
"2701"," 20
"
"2702"," —
"
"2703"," —
"
"2704"," 5355
"
"2705"," 5140
"
"2706"," 5120
"
"2707"," 216
"
"2708"," 
"
"2709"," Teddiursa
"
"2710"," Field
"
"2711"," —
"
